IC50,Cancer,Drug,From_Sanger,Fingerprint_835,Fingerprint_829,Fingerprint_828,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_658,Fingerprint_656,Fingerprint_646,Fingerprint_644,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,PKA_226,PKA_226_CSV,PKA_226_EXP,PKA_275,DOM_PI3_PI4_kinase,MUT_CDC42BPB,MUT_MAP4K1,MUT_MAP4K1_EXP,REC_R_HSA_176298,REC_R_HSA_176298_EXP,PWY_R_HSA_193648_CSV,PWY_R_HSA_6804115,PWY_R_HSA_68877_CSV,PWY_R_HSA_73894_EXP,GO_0001672_EXP,GO_0001933_EXP,GO_0007283_CSV,GO_0032436_CSV,GO_0042060,GO_0048813,GO_0050732,SFAM_MEKK2,SFAM_TSSK,CLS_tumour_source_metastasis,EXP_EPHB6,EXP_WNK2,EXP_MAP3K12,EXP_TYK2,EXP_PRKCG,EXP_PAK3,EXP_SIK2,EXP_PASK,EXP_MARK1,EXP_WNK4,PKA_115_ASA_X_Fingerprint_643,PKA_115_ENG_X_Fingerprint_643,PKA_115_EXP_X_Fingerprint_643,PKA_115_HYD_X_Fingerprint_576,PKA_115_VOL_X_Fingerprint_643,PKA_115_X_Fingerprint_643,PKA_192_ASA_X_Fingerprint_643,PKA_192_HYD_X_Fingerprint_643,PKA_192_POL_X_Fingerprint_643,PKA_192_VOL_X_Fingerprint_643,PKA_240_POL_X_Fingerprint_576,EXP_GRK3_X_EXP_OR1K1,EXP_GRK3_X_EXP_OR52I1,EXP_GRK3_X_EXP_OR56B1,EXP_GRK3_X_EXP_OR5M9,EXP_RIPK3_X_EXP_FADD,EXP_RIPK3_X_EXP_NFKBIA,EXP_SYK_X_EXP_CD3E,EXP_SYK_X_EXP_CD72,EXP_SYK_X_EXP_CLEC6A,EXP_SYK_X_EXP_CLEC7A,EXP_SYK_X_EXP_ELMO1,EXP_SYK_X_EXP_FCER1G,EXP_SYK_X_EXP_FGA,EXP_SYK_X_EXP_GAB2,EXP_SYK_X_EXP_GAPDH,EXP_SYK_X_EXP_NCKAP1,EXP_SYK_X_EXP_NCKAP1L,EXP_SYK_X_EXP_NFAM1,EXP_SYK_X_EXP_PDPN,EXP_SYK_X_EXP_PIK3CA,EXP_SYK_X_EXP_PLS1,EXP_SYK_X_EXP_RHOA,EXP_SYK_X_EXP_STAT3,EXP_SYK_X_EXP_TBXA2R,EXP_SYK_X_EXP_TRAT1,EXP_SYK_X_EXP_YWHAQ,EXP_WNK2_X_EXP_SLC12A3,REC_R_HSA_141409_EXP_X_REC_R_HSA_2316434_EXP,REC_R_HSA_141409_X_REC_R_HSA_2316434,REC_R_HSA_198314_X_REC_R_HSA_6798751,REC_R_HSA_200421_EXP_X_REC_R_HSA_5672965_EXP,PWY_R_HSA_109606_EXP_X_PWY_R_HSA_418594_EXP,PWY_R_HSA_109606_X_PWY_R_HSA_2187338,PWY_R_HSA_162906_EXP_X_PWY_R_HSA_8848021_EXP,PWY_R_HSA_162906_X_PWY_R_HSA_69620,PWY_R_HSA_2029480_X_PWY_R_HSA_3700989,PWY_R_HSA_2029480_X_PWY_R_HSA_5607764,PWY_R_HSA_2187338_EXP_X_PWY_R_HSA_2672351_EXP,PWY_R_HSA_2187338_EXP_X_PWY_R_HSA_69273_EXP,PWY_R_HSA_2187338_X_PWY_R_HSA_382551,PWY_R_HSA_418594_X_PWY_R_HSA_69206,PWY_R_HSA_5663205_X_PWY_R_HSA_69620,GO_0006351_X_GO_0045184,GO_0006355_EXP_X_GO_0031397_EXP,GO_0006355_X_GO_0031397,GO_0007411_X_GO_0034446,GO_0009615_EXP_X_GO_0070373_EXP,GO_0010506_EXP_X_GO_0045793_EXP,GO_0016569_EXP_X_GO_0030155_EXP,GO_0016569_EXP_X_GO_0090002_EXP,GO_0018108_X_GO_0090002
3.106225,946359,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53329532742779,0,0,0,0,1,1,0,0,0,0,4.07761892346266,4.53286408214105,3.18512977748117,8.89429015583682,3.39879706327848,3.41896129068587,4.17871181682166,4.58304802308621,3.35769627225955,3.13602429204089,-0.5,-0.125999999999999,3.04251446148011,0.65,-18.7,1,0,0,0,0,-1.8,11.4395532535383,8.54005149761483,8.7888844309098,9.44181070821564,24.2451722920915,25.954932399137,15.4381267853606,13.1127199789397,16.0125878151336,16.1622803490722,15.9911007501289,17.7388578196403,15.5756728603521,19.5138061354994,70.0596065144401,51.5500106147827,16.7589829048539,17.5819734229139,15.0902492274146,25.6119230869764,34.2712289294765,54.1025808819626,40.734069488748,17.8504011586964,15.6769265161034,52.3753102308908,12.8125618374036,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.697389,749711,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22490862237642,7.30882039039283,3.10504233100754,9.0040724196053,3.28018547196786,3.61705182301956,4.33510310589432,4.40425920372895,5.63113793292412,2.95672555078211,0,0,0,0,0,0,0,0,0,0,0,14.3709947213973,12.5075375501589,13.2651343841834,12.442207534084,25.9573671645785,23.8678360034373,11.5811234075939,10.2443544799518,11.7821448895219,21.4621357956351,11.4629256436383,13.0553139961866,11.485976287538,24.4765533578188,50.7615043434749,38.4377761374573,11.5043096353262,12.303560646557,11.0621786849745,23.641704152147,22.9583890714964,39.1643063872608,32.4657361368089,12.9172122850138,11.3236070374138,36.8108112298427,20.9423422535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.826353,749715,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04890078326432,7.17957903653935,2.93959989039763,8.46485904086162,3.30286353799697,3.32542439929143,4.39143418940801,4.27901786632425,3.25494753885181,3.04894355419347,0,0,0,0,0,0,0,0,0,0,0,15.6868881853048,11.8178035840877,14.1449892627288,11.8150209018566,23.7345585744614,21.7422392634367,15.5262408370756,13.0129587754268,15.1106028261775,14.0180972682315,13.5400566071908,16.7246533017403,14.590775409602,20.6586340863103,60.7348934280766,44.1475435404216,15.3334283888086,15.0346361576343,13.9473978021376,24.1386037231458,32.7510798526222,48.9128999114249,40.8568680522081,17.9438399049454,13.5768758534862,46.1813302927235,21.6215433622111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.164448,749716,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75223024357666,5.62042310282844,3.37349409047077,8.1319606904255,3.39663642480885,3.67884213594898,3.79410870447395,4.26017944748008,3.09279358153092,3.14683461768754,0,0,0,0,0,0,0,0,0,0,0,13.1473164774439,11.9210410554055,11.4587157295893,11.3266840879709,24.2217541152685,27.6954831370343,10.9440798355971,9.42086956362068,11.0636350815395,11.232768271241,11.7149406680416,13.5985481037958,11.782865325426,13.1641410315096,48.5064786635769,34.8407923098529,11.4581728758599,12.3667141233765,11.014863638257,19.2682877771895,19.7862000390415,38.2139108503084,23.4842074750001,12.380321735557,10.5454462842389,30.8867561927986,16.2980435035048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.149822,906812,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1784306959495,0,0,0,0,0,0,0,0,0,1,3.85460265470281,4.96490552255114,3.4823429826773,7.0105596891537,3.2122513845609,3.14174916624725,4.3741028046977,4.50924824120913,4.21233927749119,2.89925833032715,0,0,0,0,0,0,0,0,0,0,0,11.4336744550076,10.8548667313805,9.60534454982187,10.6442709483003,21.4178462843768,24.261607853575,9.34136392571995,8.17930154011877,9.48312326044713,8.99986354305837,9.1322452179237,11.8310080141953,9.14844898259172,13.9190904947286,42.6943734322866,32.6803512087499,8.94364228760416,10.0413652096693,8.96884194775458,19.7481632643103,24.6402551506679,34.444627616907,24.1761344747215,10.2627663152743,8.78609131851268,31.7793690517453,14.0039537850601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.118564,906844,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.9660404783993,6.02580344726228,3.99353493191341,8.03266588354154,3.11544365060595,3.15494976542348,4.16542718607716,5.01767172919652,6.05574515095101,2.87499497457873,0,0,0,0,0,0,0,0,0,0,0,21.0393680176221,18.2301248635242,17.0315666879735,19.3841315098286,18.992536447852,20.9675898396061,30.0455218797334,30.076539579257,30.1774770401695,28.0411583971253,29.701765515357,34.0414430018764,29.3926488469729,45.77573220584,133.166099217939,105.670618473725,31.5072074247809,32.2881333234623,29.8086492904295,61.1549047429122,85.7780497581325,105.675595766678,65.0044520620037,34.6903990754576,28.1883045031363,91.7887773244751,16.5165050878837,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.870624,906862,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.15494497947649,5.24124095773561,0,0,0,1,0,0,0,0,1,3.22200613631316,4.20869111670368,3.07209146933718,6.79912330138476,3.24862457685361,3.31559845914658,4.1194587757018,4.71890663909245,5.0620872627102,3.23510982687458,0,0,0,0,0,0,0,0,0,0,0,17.9339430541429,12.1296697635804,12.6185367171146,13.4205930249886,21.6080453544246,24.5437843306963,14.6305209357047,13.2632801759874,15.1978378913727,17.3713108249564,14.2275317971399,18.4057844913837,14.772047277744,16.6223967672345,64.4692890770747,49.0248297988735,14.7615675767984,15.9336315087556,15.5632736337541,28.3152702417264,33.7290526346733,49.2122697520258,34.0234434887875,15.9642276428348,13.4835970515631,41.3451990117679,13.4506413116921,21.1194184328436,1,0,0,0,0,19.6269078107645,3,0,0,0,0,0,0,3,0,0,0,0,0,16.2795766690563,31.5679499629368,31.5679499629368,1
2.195492,908151,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64492488752873,0,0,2,0,0,0,0,0,3.22143272072502,3.5917420003636,2.94264067279941,7.23236739309126,3.35415333555239,3.10144356628423,4.38801250005822,4.14833785756391,3.13678493429031,3.18677683466524,0,0,0,0,0,0,0,0,0,0,0,19.2988183889175,15.3026160158745,14.1499799852269,16.4828607822579,21.6576874042525,25.536629407609,14.7703710296623,13.1565328355226,15.0663884679026,14.2932880188001,14.6380331948001,18.5767571755853,14.8158797817142,17.7700979286267,66.9319201525326,49.63187480299,15.9963826570967,15.7111732691741,14.2694128472207,22.9494657731623,44.2309872615282,53.0591437005809,31.9890576745116,19.190069557583,14.2280292058852,46.0515943340286,10.1963977142606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8674647582614,1,0,0,0,0,0,0
1.959576,909256,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0.743805,3.11660987925144,1,0,1,0,0,0,0,0,0,0,0,7.28103290879348,6.37950377276679,0,0,1,0,1,0,1,1,4.95677864807894,4.92552755563466,2.98402749881556,8.49975306151397,3.21150096559268,3.24046828110686,4.17315572100849,4.95821366497483,4.68447282749832,2.87045717512893,0,0,0,0,0,0,0,0,0,0,0,17.1121426882975,15.5360104825586,15.2860579878277,16.7349218732365,22.0425060294833,19.9713939288941,20.8263660867555,17.8631397127885,20.7247339173591,21.8661136760608,19.2287245961167,22.6183823905955,19.9372857659861,22.0545315287852,90.124399309092,67.5757675872951,18.8475115777456,22.3971139687409,19.5944596085993,43.3261661692135,60.2374417777665,67.9942353517819,59.6864995418312,21.1965480660225,18.4928353982828,69.1165867440515,13.4248712607189,16.7800271766125,1,1,35.7061497150527,0,0,19.8824244829268,1,0,2,0,0,0,0,1,0,50.5814083276704,2,1,24.4923680453981,25.406428597952,28.9967761295597,36.2052055822572,2
4.74273,910948,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706277,0,1,0,0,0,0,1,5.92467336767911,3.77499207685146,4.09082340155186,7.48498903051195,3.2479840119963,3.17690133486297,4.31846945083382,4.60713147278558,4.53087617230116,3.16497977464766,0,0,0,0,0,0,0,0,0,0,0,12.5917078941154,11.3947204354664,10.7325197446248,10.7717234701621,21.2375602869363,26.4978482681725,9.82603108966522,10.0285694631232,10.5262676794284,9.76465948243517,10.1056282202968,12.5751433094347,9.98961489182041,11.2392989658542,45.4038338808382,35.3686603988911,9.91870271948807,10.9355955349483,9.51322981211721,23.1011361073016,29.5648623130476,38.2139697536617,23.8575313712427,11.0801544837872,9.68768715599768,33.2591667682466,10.6998364587735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.481919,924106,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.44775132638344,5.96700736282848,3.14030690767046,7.77434415426255,3.38886038402207,3.34039331204939,4.70940431649339,5.05550332810168,6.82945881352832,3.10096869889626,0,0,0,0,0,0,0,0,0,0,0,12.297815959671,9.34836196744438,10.3869724045616,11.4685443960083,24.4480622630301,25.5299112508226,17.8775536500167,15.4470370568234,17.2126111267734,16.6979697607092,16.2168745528382,18.6204241184999,17.090964205515,18.6969856727547,70.059507211935,52.783706565204,17.0125775478617,16.9424267419483,15.6898279816301,29.5790143383672,34.5880246288124,57.9841525452403,39.9655044927593,18.4199558090458,14.7848922307455,52.5811001906659,17.9937609753121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.768427,946359,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53329532742779,0,0,0,0,1,1,0,0,0,0,4.07761892346266,4.53286408214105,3.18512977748117,8.89429015583682,3.39879706327848,3.41896129068587,4.17871181682166,4.58304802308621,3.35769627225955,3.13602429204089,-0.5,-0.125999999999999,3.04251446148011,0,-18.7,1,0,0,0,0,0,11.4395532535383,8.54005149761483,8.7888844309098,9.44181070821564,24.2451722920915,25.954932399137,15.4381267853606,13.1127199789397,16.0125878151336,16.1622803490722,15.9911007501289,17.7388578196403,15.5756728603521,19.5138061354994,70.0596065144401,51.5500106147827,16.7589829048539,17.5819734229139,15.0902492274146,25.6119230869764,34.2712289294765,54.1025808819626,40.734069488748,17.8504011586964,15.6769265161034,52.3753102308908,12.8125618374036,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.151263,749711,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22490862237642,7.30882039039283,3.10504233100754,9.0040724196053,3.28018547196786,3.61705182301956,4.33510310589432,4.40425920372895,5.63113793292412,2.95672555078211,0,0,0,0,0,0,0,0,0,0,0,14.3709947213973,12.5075375501589,13.2651343841834,12.442207534084,25.9573671645785,23.8678360034373,11.5811234075939,10.2443544799518,11.7821448895219,21.4621357956351,11.4629256436383,13.0553139961866,11.485976287538,24.4765533578188,50.7615043434749,38.4377761374573,11.5043096353262,12.303560646557,11.0621786849745,23.641704152147,22.9583890714964,39.1643063872608,32.4657361368089,12.9172122850138,11.3236070374138,36.8108112298427,20.9423422535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.541408,749715,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04890078326432,7.17957903653935,2.93959989039763,8.46485904086162,3.30286353799697,3.32542439929143,4.39143418940801,4.27901786632425,3.25494753885181,3.04894355419347,0,0,0,0,0,0,0,0,0,0,0,15.6868881853048,11.8178035840877,14.1449892627288,11.8150209018566,23.7345585744614,21.7422392634367,15.5262408370756,13.0129587754268,15.1106028261775,14.0180972682315,13.5400566071908,16.7246533017403,14.590775409602,20.6586340863103,60.7348934280766,44.1475435404216,15.3334283888086,15.0346361576343,13.9473978021376,24.1386037231458,32.7510798526222,48.9128999114249,40.8568680522081,17.9438399049454,13.5768758534862,46.1813302927235,21.6215433622111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.06244,749716,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75223024357666,5.62042310282844,3.37349409047077,8.1319606904255,3.39663642480885,3.67884213594898,3.79410870447395,4.26017944748008,3.09279358153092,3.14683461768754,0,0,0,0,0,0,0,0,0,0,0,13.1473164774439,11.9210410554055,11.4587157295893,11.3266840879709,24.2217541152685,27.6954831370343,10.9440798355971,9.42086956362068,11.0636350815395,11.232768271241,11.7149406680416,13.5985481037958,11.782865325426,13.1641410315096,48.5064786635769,34.8407923098529,11.4581728758599,12.3667141233765,11.014863638257,19.2682877771895,19.7862000390415,38.2139108503084,23.4842074750001,12.380321735557,10.5454462842389,30.8867561927986,16.2980435035048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.652028,906812,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1784306959495,0,0,0,0,0,0,0,0,0,1,3.85460265470281,4.96490552255114,3.4823429826773,7.0105596891537,3.2122513845609,3.14174916624725,4.3741028046977,4.50924824120913,4.21233927749119,2.89925833032715,0,0,0,0,0,0,0,0,0,0,0,11.4336744550076,10.8548667313805,9.60534454982187,10.6442709483003,21.4178462843768,24.261607853575,9.34136392571995,8.17930154011877,9.48312326044713,8.99986354305837,9.1322452179237,11.8310080141953,9.14844898259172,13.9190904947286,42.6943734322866,32.6803512087499,8.94364228760416,10.0413652096693,8.96884194775458,19.7481632643103,24.6402551506679,34.444627616907,24.1761344747215,10.2627663152743,8.78609131851268,31.7793690517453,14.0039537850601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.607702,906844,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.9660404783993,6.02580344726228,3.99353493191341,8.03266588354154,3.11544365060595,3.15494976542348,4.16542718607716,5.01767172919652,6.05574515095101,2.87499497457873,0,0,0,0,0,0,0,0,0,0,0,21.0393680176221,18.2301248635242,17.0315666879735,19.3841315098286,18.992536447852,20.9675898396061,30.0455218797334,30.076539579257,30.1774770401695,28.0411583971253,29.701765515357,34.0414430018764,29.3926488469729,45.77573220584,133.166099217939,105.670618473725,31.5072074247809,32.2881333234623,29.8086492904295,61.1549047429122,85.7780497581325,105.675595766678,65.0044520620037,34.6903990754576,28.1883045031363,91.7887773244751,16.5165050878837,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.719277,906862,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.15494497947649,5.24124095773561,0,0,0,1,0,0,0,0,1,3.22200613631316,4.20869111670368,3.07209146933718,6.79912330138476,3.24862457685361,3.31559845914658,4.1194587757018,4.71890663909245,5.0620872627102,3.23510982687458,0,0,0,0,0,0,0,0,0,0,0,17.9339430541429,12.1296697635804,12.6185367171146,13.4205930249886,21.6080453544246,24.5437843306963,14.6305209357047,13.2632801759874,15.1978378913727,17.3713108249564,14.2275317971399,18.4057844913837,14.772047277744,16.6223967672345,64.4692890770747,49.0248297988735,14.7615675767984,15.9336315087556,15.5632736337541,28.3152702417264,33.7290526346733,49.2122697520258,34.0234434887875,15.9642276428348,13.4835970515631,41.3451990117679,13.4506413116921,21.1194184328436,1,0,0,0,0,19.6269078107645,3,0,0,0,0,0,0,3,0,0,0,0,0,16.2795766690563,31.5679499629368,31.5679499629368,1
0.947224,908151,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64492488752873,0,0,2,0,0,0,0,0,3.22143272072502,3.5917420003636,2.94264067279941,7.23236739309126,3.35415333555239,3.10144356628423,4.38801250005822,4.14833785756391,3.13678493429031,3.18677683466524,0,0,0,0,0,0,0,0,0,0,0,19.2988183889175,15.3026160158745,14.1499799852269,16.4828607822579,21.6576874042525,25.536629407609,14.7703710296623,13.1565328355226,15.0663884679026,14.2932880188001,14.6380331948001,18.5767571755853,14.8158797817142,17.7700979286267,66.9319201525326,49.63187480299,15.9963826570967,15.7111732691741,14.2694128472207,22.9494657731623,44.2309872615282,53.0591437005809,31.9890576745116,19.190069557583,14.2280292058852,46.0515943340286,10.1963977142606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8674647582614,1,0,0,0,0,0,0
2.776025,909256,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0.743805,3.11660987925144,1,0,1,0,0,0,0,0,0,0,0,7.28103290879348,6.37950377276679,0,0,1,0,1,0,1,1,4.95677864807894,4.92552755563466,2.98402749881556,8.49975306151397,3.21150096559268,3.24046828110686,4.17315572100849,4.95821366497483,4.68447282749832,2.87045717512893,0,0,0,0,0,0,0,0,0,0,0,17.1121426882975,15.5360104825586,15.2860579878277,16.7349218732365,22.0425060294833,19.9713939288941,20.8263660867555,17.8631397127885,20.7247339173591,21.8661136760608,19.2287245961167,22.6183823905955,19.9372857659861,22.0545315287852,90.124399309092,67.5757675872951,18.8475115777456,22.3971139687409,19.5944596085993,43.3261661692135,60.2374417777665,67.9942353517819,59.6864995418312,21.1965480660225,18.4928353982828,69.1165867440515,13.4248712607189,16.7800271766125,1,1,35.7061497150527,0,0,19.8824244829268,1,0,2,0,0,0,0,1,0,50.5814083276704,2,1,24.4923680453981,25.406428597952,28.9967761295597,36.2052055822572,2
2.418576,910910,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.746166,0,0,11.8249992723073,0,0,0,0,0,0,0,0,0,0,3.07796154079537,3.87990728387945,3.59775870786044,7.56743466129746,3.29994530403766,2.9819082181166,4.46823319754736,3.89400118011522,3.44943984164494,3.0678321449277,0,0,0,0,0,0,0,0,0,0,0,11.6184282952115,9.31859289626622,8.67598026990404,9.68811940570937,25.7037748072403,33.5950805401061,12.4912584606541,10.9803002630336,11.4827954298468,11.1038539749339,11.9724298739033,14.3363574144657,11.5088286195601,18.3999037385118,53.8735885940273,37.3509018074708,11.9406068614936,12.565738877137,11.0953135657694,23.5555629559463,26.8346672541949,42.2789612104017,31.1458866907871,12.6606679463487,11.1807865489845,37.1924342113212,11.4469083218847,0,0,0,0,11.1415964417513,1,0,0,0,0,11.7551883399068,14.835146662223,2,0,0,0,0,0,0,0,0,0,0,0
3.349511,910948,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706277,0,1,0,0,0,0,1,5.92467336767911,3.77499207685146,4.09082340155186,7.48498903051195,3.2479840119963,3.17690133486297,4.31846945083382,4.60713147278558,4.53087617230116,3.16497977464766,0,0,0,0,0,0,0,0,0,0,0,12.5917078941154,11.3947204354664,10.7325197446248,10.7717234701621,21.2375602869363,26.4978482681725,9.82603108966522,10.0285694631232,10.5262676794284,9.76465948243517,10.1056282202968,12.5751433094347,9.98961489182041,11.2392989658542,45.4038338808382,35.3686603988911,9.91870271948807,10.9355955349483,9.51322981211721,23.1011361073016,29.5648623130476,38.2139697536617,23.8575313712427,11.0801544837872,9.68768715599768,33.2591667682466,10.6998364587735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.095625,924106,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.44775132638344,5.96700736282848,3.14030690767046,7.77434415426255,3.38886038402207,3.34039331204939,4.70940431649339,5.05550332810168,6.82945881352832,3.10096869889626,0,0,0,0,0,0,0,0,0,0,0,12.297815959671,9.34836196744438,10.3869724045616,11.4685443960083,24.4480622630301,25.5299112508226,17.8775536500167,15.4470370568234,17.2126111267734,16.6979697607092,16.2168745528382,18.6204241184999,17.090964205515,18.6969856727547,70.059507211935,52.783706565204,17.0125775478617,16.9424267419483,15.6898279816301,29.5790143383672,34.5880246288124,57.9841525452403,39.9655044927593,18.4199558090458,14.7848922307455,52.5811001906659,17.9937609753121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
