IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_161,PKA_161_ENG,PKA_161_EXP,MUT_CDC42BPB,MUT_MAP3K9_EXP,MUT_MAP4K1,MUT_NME9,MUT_NME9_EXP,MUT_NPR2_EXP,MUT_TNIK,MUT_TNIK_EXP,CNV_PTK2_gain,REC_R_HSA_176298_EXP,REC_R_HSA_5692755,PWY_R_HSA_1250196,PWY_R_HSA_1250196_EXP,PWY_R_HSA_1640170_CSV,PWY_R_HSA_416482_CSV,PWY_R_HSA_6804115,PWY_R_HSA_68877_CSV,GO_0003351,GO_0003351_EXP,GO_0031100_CSV,GO_0032436_CSV,GO_0042060,GO_0048813_EXP,GO_0050798_EXP,SFAM_TSSK,EXP_EPHB6,EXP_MAP3K12,EXP_TYK2,EXP_PRKCG,EXP_PAK3,EXP_SIK2,EXP_GRK3_X_EXP_OR52I1,EXP_GRK3_X_EXP_OR5L2,EXP_RIPK3_X_EXP_FADD,EXP_RIPK3_X_EXP_NFKBIA,EXP_SYK_X_EXP_CLEC7A,EXP_WNK2_X_EXP_SLC12A3,REC_R_HSA_141409_EXP_X_REC_R_HSA_2316434_EXP,PWY_R_HSA_109606_EXP_X_PWY_R_HSA_418594_EXP,PWY_R_HSA_109606_X_PWY_R_HSA_2187338,PWY_R_HSA_162906_X_PWY_R_HSA_69620,PWY_R_HSA_2029480_X_PWY_R_HSA_3700989,PWY_R_HSA_2187338_EXP_X_PWY_R_HSA_2672351_EXP,PWY_R_HSA_2187338_X_PWY_R_HSA_2672351,PWY_R_HSA_2187338_X_PWY_R_HSA_3700989,PWY_R_HSA_2187338_X_PWY_R_HSA_5633007,PWY_R_HSA_5663205_X_PWY_R_HSA_6804757,GO_0006351_X_GO_0045184,GO_0006355_EXP_X_GO_0031397_EXP,GO_0007411_X_GO_0034446,GO_0016567_X_GO_0045793,GO_0030155_X_GO_1901796,Predicted IC50,Validation
3.095625,924106,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795157,0,0,0,0,0,0,0,1,0,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,9.3483619674,10.046551744,24.448062263,25.529911251,16.697969761,17.993760975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8726328267,5
3.531474,946359,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80856,0,0,0,0,0,0,0,1,4.5428910227,0,0,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,8.5400514976,9.287973014,24.245172292,25.954932399,16.162280349,12.812561837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.0282502605,1
3.069284,1303900,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0937818071,0,0,0,0,0,0.770904,0,0,0,0,0,0,0,0,0,0,0,3.1145994284,3.3401512287,8.5684995651,3.2109697826,3.2222939622,3.658049865,13.631347654,16.240510911,29.329438204,27.204769586,9.2792425493,11.029626213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.516820314,3
1.510261,749711,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,12.50753755,13.769342193,25.957367165,23.867836003,21.462135796,20.942342254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5528283395,10
2.535459,749715,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791673,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,11.817803584,12.504011993,23.734558574,21.742239263,14.018097268,21.621543362,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.6829519755,6
4.712368,749716,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,11.921041055,12.677097595,24.221754115,27.695483137,11.232768271,16.298043504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8767536056,7
2.580373,906812,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,10.854866731,11.232458055,21.417846284,24.261607854,8.9998635431,14.003953785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6587009889,8
-3.594837,906844,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5425760809,0,0,0,0,0,0,0,0,0,0,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,18.230124864,20.747169665,18.992536448,20.96758984,28.041158397,16.516505088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.551629862,4
3.459914,906862,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.0334776898,0,0,1,1,3.7540713141,0,0,0,0,0,0,0,0,1,0,0,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,12.129669764,13.928260339,21.608045354,24.543784331,17.371310825,13.450641312,21.119418433,0,0,3,0,0,0,0,0,3,0,0,0,0,1,2.7427566101,2
2.150691,908151,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.9550698372,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,15.302616016,17.485414191,21.657687404,25.536629408,14.293288019,10.196397714,0,0,0,0,0,0,0,0,0,2,0,22.867464758,0,0,0,2.4575248788,4
2.24749,909256,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.7438427469,0,0,0,0,0,0,0,0,1,0,0,1,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,15.536010483,16.591660152,22.042506029,19.971393929,21.866113676,13.424871261,16.780027177,0,0,1,0,0,0,0,0,0,0,50.581408328,1,0,0,1.9247127314,7
4.163249,910910,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798032,0,0,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,9.3185928963,9.9570684545,25.703774807,33.59508054,11.103853975,11.446908322,0,11.141596442,1,0,0,11.75518834,1,2,2,0,0,0,0,0,0,3.5383832721,7
4.082351,910948,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706277,0,1,0,0,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,11.394720435,12.317658888,21.237560287,26.497848268,9.7646594824,10.699836459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7657329088,2
3.783634,924106,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795157,0,0,0,0,0,0,0,1,0,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,9.3483619674,10.046551744,24.448062263,25.529911251,16.697969761,17.993760975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1099209132,10
3.802895,946359,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80856,0,0,0,0,0,0,0,1,4.5428910227,0,0,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,8.5400514976,9.287973014,24.245172292,25.954932399,16.162280349,12.812561837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.4783381811,3
2.348196,1303900,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.0937818071,0,0,0,0,0,0.770904,0,0,0,0,0,0,0,0,0,0,0,3.1145994284,3.3401512287,8.5684995651,3.2109697826,3.2222939622,3.658049865,13.631347654,16.240510911,29.329438204,27.204769586,9.2792425493,11.029626213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7272452846,7
1.791957,749711,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,12.50753755,13.769342193,25.957367165,23.867836003,21.462135796,20.942342254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7009179244,6
2.029034,749715,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791673,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,11.817803584,12.504011993,23.734558574,21.742239263,14.018097268,21.621543362,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.5902971045,6
0.785559,749716,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,11.921041055,12.677097595,24.221754115,27.695483137,11.232768271,16.298043504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9183903657,1
2.66414,906812,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,10.854866731,11.232458055,21.417846284,24.261607854,8.9998635431,14.003953785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5815533232,7
1.009294,906844,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5425760809,0,0,0,0,0,0,0,0,0,0,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,18.230124864,20.747169665,18.992536448,20.96758984,28.041158397,16.516505088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.1105686719,3
1.52352,906862,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3.0334776898,0,0,1,1,3.7540713141,0,0,0,0,0,0,0,0,1,0,0,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,12.129669764,13.928260339,21.608045354,24.543784331,17.371310825,13.450641312,21.119418433,0,0,3,0,0,0,0,0,3,0,0,0,0,1,1.2048156397,5
0.634727,908151,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2.9550698372,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,15.302616016,17.485414191,21.657687404,25.536629408,14.293288019,10.196397714,0,0,0,0,0,0,0,0,0,2,0,22.867464758,0,0,0,1.2307929414,1
1.27764,909256,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.7438427469,0,0,0,0,0,0,0,0,1,0,0,1,4.9567786481,2.9840274988,8.4997530615,3.2115009656,3.2404682811,4.173155721,15.536010483,16.591660152,22.042506029,19.971393929,21.866113676,13.424871261,16.780027177,0,0,1,0,0,0,0,0,0,0,50.581408328,1,0,0,0.6460847725,1
2.537305,910910,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798032,0,0,0,0,0,0,0,0,0,0,0,3.0779615408,3.5977587079,7.5674346613,3.299945304,2.9819082181,4.4682331975,9.3185928963,9.9570684545,25.703774807,33.59508054,11.103853975,11.446908322,0,11.141596442,1,0,0,11.75518834,1,2,2,0,0,0,0,0,0,2.3558959001,7
2.709183,910948,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706277,0,1,0,0,0,5.9246733677,4.0908234016,7.4849890305,3.247984012,3.1769013349,4.3184694508,11.394720435,12.317658888,21.237560287,26.497848268,9.7646594824,10.699836459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.054125894,4
1.808132,924106,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795157,0,0,0,0,0,0,0,1,0,0,0,3.4477513264,3.1403069077,7.7743441543,3.388860384,3.340393312,4.7094043165,9.3483619674,10.046551744,24.448062263,25.529911251,16.697969761,17.993760975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9251916627,1
2.851876,946359,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80856,0,0,0,0,0,0,0,1,4.5428910227,0,0,4.0776189235,3.1851297775,8.8942901558,3.3987970633,3.4189612907,4.1787118168,8.5400514976,9.287973014,24.245172292,25.954932399,16.162280349,12.812561837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.2094024617,7
2.257886,1303900,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4.0937818071,0,0,0,0,0,0.770904,0,0,0,0,0,0,0,0,0,0,0,3.1145994284,3.3401512287,8.5684995651,3.2109697826,3.2222939622,3.658049865,13.631347654,16.240510911,29.329438204,27.204769586,9.2792425493,11.029626213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7355567739,6
-0.096825,749711,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2249086224,3.105042331,9.0040724196,3.280185472,3.617051823,4.3351031059,12.50753755,13.769342193,25.957367165,23.867836003,21.462135796,20.942342254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846719165,5
2.549715,749715,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791673,0,0,0,0,0,0,0,0,0,0,0,3.0489007833,2.9395998904,8.4648590409,3.302863538,3.3254243993,4.3914341894,11.817803584,12.504011993,23.734558574,21.742239263,14.018097268,21.621543362,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.2374076372,9
3.370671,749716,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7522302436,3.3734940905,8.1319606904,3.3966364248,3.6788421359,3.7941087045,11.921041055,12.677097595,24.221754115,27.695483137,11.232768271,16.298043504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9500870123,5
3.351436,906812,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8546026547,3.4823429827,7.0105596892,3.2122513846,3.1417491662,4.3741028047,10.854866731,11.232458055,21.417846284,24.261607854,8.9998635431,14.003953785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0364035157,3
-0.187619,906844,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5425760809,0,0,0,0,0,0,0,0,0,0,0,0,6.9660404784,3.9935349319,8.0326658835,3.1154436506,3.1549497654,4.1654271861,18.230124864,20.747169665,18.992536448,20.96758984,28.041158397,16.516505088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.485708548,3
2.095042,906862,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0334776898,0,0,1,1,3.7540713141,0,0,0,0,0,0,0,0,1,0,0,0,3.2220061363,3.0720914693,6.7991233014,3.2486245769,3.3155984591,4.1194587757,12.129669764,13.928260339,21.608045354,24.543784331,17.371310825,13.450641312,21.119418433,0,0,3,0,0,0,0,0,3,0,0,0,0,1,1.4756529822,10
-1.442381,908151,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9550698372,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.2214327207,2.9426406728,7.2323673931,3.3541533356,3.1014435663,4.3880125001,15.302616016,17.485414191,21.657687404,25.536629408,14.293288019,10.196397714,0,0,0,0,0,0,0,0,0,2,0,22.867464758,0,0,0,-1.177223961,5
